order_id,order_date,customer_email,amount,currency,channel,order_date_clean,amount_clean,currency_clean,customer_email_clean
O0134742,2025-01-25 06:00:00,user134741@mail.com,-0.06,€,mobile,2025-01-25 06:00:00,-0.06,EUR,user134741@mail.com
O0117411,2025-01-18 16:00:00,user117410@mail.com,-0.08,EUR,mobile,2025-01-18 16:00:00,-0.08,EUR,user117410@mail.com
O0136202,2025-01-11 19:00:00,user136201@mail.com,-0.08,EUR,store,2025-01-11 19:00:00,-0.08,EUR,user136201@mail.com
O0098054,2025-01-16 21:00:00,user98053@mail.com,-0.08,EUR,store,2025-01-16 21:00:00,-0.08,EUR,user98053@mail.com
O0071482,2025-01-02 18:00:00,user71481@mail.com,-0.09,USD,store,2025-01-02 18:00:00,-0.09,USD,user71481@mail.com
O0046907,2025-01-25 07:00:00,user46906@mail.com,-0.11,USD,web,2025-01-25 07:00:00,-0.11,USD,user46906@mail.com
O0190355,2025-01-28 06:00:00,user190354@mail.com,-0.12,€,store,2025-01-28 06:00:00,-0.12,EUR,user190354@mail.com
O0027092,2025-01-05 12:00:00,user27091@mail.com,-0.16,EUR,mobile,2025-01-05 12:00:00,-0.16,EUR,user27091@mail.com
O0191173,2025-01-06 01:00:00,user191172@mail.com,-0.16,USD,mobile,2025-01-06 01:00:00,-0.16,USD,user191172@mail.com
O0049564,2025-01-10 11:00:00,user49563@mail.com,-0.17,USD,store,2025-01-10 11:00:00,-0.17,USD,user49563@mail.com
O0174013,2025-01-12 07:00:00,user174012@mail.com,-0.2,EUR,store,2025-01-12 07:00:00,-0.2,EUR,user174012@mail.com
O0070613,2025-01-21 04:00:00,user70612@mail.com,-0.2,€,web,2025-01-21 04:00:00,-0.2,EUR,user70612@mail.com
O0080022,2025-01-16 01:00:00,user80021@mail.com,-0.22,EUR,store,2025-01-16 01:00:00,-0.22,EUR,user80021@mail.com
O0155555,2025-01-02 04:00:00,user155554@mail.com,-0.23,USD,store,2025-01-02 04:00:00,-0.23,USD,user155554@mail.com
O0174549,2025-01-19 18:00:00,user174548@mail.com,-0.23,USD,web,2025-01-19 18:00:00,-0.23,USD,user174548@mail.com
O0025944,2025-01-22 20:00:00,user25943@mail.com,-0.24,EUR,web,2025-01-22 20:00:00,-0.24,EUR,user25943@mail.com
O0133209,2025-01-12 05:00:00,user133208@mail.com,-0.24,€,mobile,2025-01-12 05:00:00,-0.24,EUR,user133208@mail.com
O0027111,2025-01-23 20:00:00,user27110@mail.com,-0.26,USD,mobile,2025-01-23 20:00:00,-0.26,USD,user27110@mail.com
